respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
04001,Royal Kebab&Tacos,ChIJzSAkLxGbyxIRQW1Kuu93p3o,Kebab,"77 Av. De Verdun, Digne-les-Bains",1
04001,Star Kebab,ChIJ6fTLhLOayxIRlovNf95QRMk,"Kebab, Restaurant De Restauration Rapide","6 Rue De L'hubac, Digne-les-Bains",1
04001,Le Remontada,ChIJfT92jy66yxIR7ZmFa3tuRxY,"Sandwicherie, Bar, Restaurant De Restauration Rapide, Kebab, Restaurant De Pizzas, Brasserie","Saint-Roch, Peyruis",1
04001,Le Hoggar Chez Kamel,ChIJw6guI4KnyxIRrN7OLFb1yr8,"Restaurant De Restauration Rapide, Restaurant Halal","1 Av. Des Arcades, Sisteron",1
04001,Tacos Burger,ChIJscLR2aenyxIRNmdhckyLc6k,"Restaurant De Tacos, Restaurant De Restauration Rapide, Livraison De Repas, Restaurant","26 Av. Jean Moulin, Sisteron",1
04001,Le Plan B,ChIJP0FZm_mXyxIRlyuc_ugOD0E,"Restaurant De Hamburgers, Restaurant Américain","Station Avia, Mallemoisson",0
04001,Hôtel Restaurant De La Haute Provence,ChIJ2UifOeSWyxIRO_1VP9pOPVA,"Restaurant, Bar, Restaurant Français, Hôtel","Les Grillons, Mallemoisson",0
04001,Américan Drive,ChIJu0aJGpeQyxIRNBbFTobfaAA,"Restaurant Américain, Restaurant De Restauration Rapide","7 Rte De Marseille, Digne-les-Bains",0
04001,Mcdonald's,ChIJJ4V9poOQyxIRPNsFAJETBVQ,"Restaurant De Restauration Rapide, Restaurant Américain, Restaurant De Hamburgers, Restaurant De Pizzas, Restaurant, Sandwicherie","Quartier Saint Christophe, Digne-les-Bains",0
04001,Burger King,ChIJ_Yw6YNORyxIR7EbRRMy0w0w,"Restaurant De Restauration Rapide, Restaurant Américain, Bar Et Grill, Restaurant Familial, Restaurant De Hamburgers, Restaurant À Emporter","88 Av. Colonel Noël, Digne-les-Bains",0
04001,Sushi Daily Digne,ChIJOyqF7XSRyxIRQmXNaRyMcf4,"Sushis À Emporter, Kiosque","Zi St Christophe, Digne-les-Bains",2
04001,Le Thai Square,ChIJ9yyfSACbyxIR1mbnyuf7JTI,Restaurant Thaïlandais,"1 Rue Antoine, Digne-les-Bains",2
04001,Asia Grill Wok,ChIJU8t9f4SQyxIRGCzf0q0hfsQ,"Restaurant Asiatique, Restaurant Buffet, Restaurant Chinois, Restaurant Thaïlandais, Restaurant Vietnamien","Av. Gutenberg, Digne-les-Bains",2
04001,Restaurant New Saigon - Buffet À Volonté - Wok - Grillade - Sushi Et Vente À Emporter,ChIJv1aaq7aayxIRPFsivPUQrxo,"Restaurant Vietnamien, Restaurant De Sushis","3 Rue Prête À Partir, Digne-les-Bains",2
04001,Kop Khun,ChIJRRrNHwCbyxIRBAQ_vswmap0,Restaurant Asiatique,"10-8 Pl. De La Fabrique, Digne-les-Bains",2
04004,Le Charbon,ChIJjwo4JenlyxIRuGntkaKxRvE,Kebab,"Rue Des Jardins, Bauduen",1
04004,Stop Kebab,ChIJ3fVgk8jHyxIRI2yVy_PkF3o,Kebab,"21 Av. Flourens Aillaud, Oraison",1
04004,Le Street Kebab,ChIJGcGKjwTJyxIRyglZZbyvewE,Restaurant,"360 Av. Des Farigoules, Volx",1
04004,Synecorp,ChIJZe1NxsLHyxIRDRnCr0WDIhI,Kebab,"Rue Du 11 Novembre 1918, 04700, Oraison",1
04004,Le Premium Kebab Pizzas,ChIJ26fwPNLNyxIRbFFSWnG2a2k,"Kebab, Restaurant De Restauration Rapide, Restaurant Halal, Restaurant De Pizzas","340 Av. Du Dr Bernard Foussier, Manosque",1
04004,Les Terrasses Du Lavandin,ChIJUcjwKkzcyxIRas_Y2TUY6vw,Bistro,"Route D'albiosc, D15, Esparron-de-Verdon",0
04004,Crêpe Diem,ChIJSw_ec7ndyxIRKP625KJ1RD8,Crêperie,"300 Route De Sorbiou, Esparron-de-Verdon",0
04004,Maison Du Chateau,ChIJF1-QDADbyxIRYT45VwEhD2Q,Restaurant Français,"Rue Du Château, Esparron-de-Verdon",0
04004,Le Jardin De Celina,ChIJO0cqF4bDyxIRfMNnwrXMOy4,"Restaurant, Chambres D'hôtes, Restaurant Français, Spa","310 Rue Du 18 Août 1944, Valensole",0
04004,Paris London Café Esparron De Verdon Provence Alpes Cote D'azur,ChIJvc3BUJDbyxIRH4Th7oJnS08,"Café, Brasserie, Snack-Bar","Le Village, Esparron-de-Verdon",0
04004,Mamie Thaï,ChIJk8Aoir_DyxIR9iGiAs5HsfE,Restaurant Thaïlandais,"Rte De Valensole, Allemagne-en-Provence",2
04004,Le Comptoir À Sushis Valensole,ChIJJRpqjDbFyxIRZh4Nh4nknd0,Sushis À Emporter,"Rte De Manosque, Valensole",2
04004,Baguettes Vietnam,ChIJWXL7U1npyxIR5PHsHukWqXw,Restaurant Vietnamien,"27 All. Louis Gardiol, Riez",2
04004,L'orchidée,ChIJczqFA0voyxIRb4rXtHk1iAg,Restaurant Thaïlandais,"36 Rue Du Marché, Riez",2
04004,Top Nem Vietnamienne Restaurant,ChIJbQpFoPvpyxIR28l1eCmFOEU,"Restaurant, Restaurant Vietnamien","3 Rue Du Marché, Riez",2
04005,Chez Mima,ChIJWeoRhOkNzBIR9EgfyReDGbU,Restaurant Marocain,"31 Rue Nationale, Castellane",1
04005,Chez Mina,ChIJh1KA274NzBIRZzUJT61fQX8,Restaurant De Tacos,"33 Rue Nationale, Castellane",1
04005,Star Kebab,ChIJ6fTLhLOayxIRlovNf95QRMk,"Kebab, Restaurant De Restauration Rapide","6 Rue De L'hubac, Digne-les-Bains",1
04005,Royal Kebab&Tacos,ChIJzSAkLxGbyxIRQW1Kuu93p3o,Kebab,"77 Av. De Verdun, Digne-les-Bains",1
04005,Café Du Commerce,ChIJFwAZHvdrzBIRPT2NYdo-reA,"Café, Bar, Restaurant Français, Restaurant","Grand Place Du Marché, Annot",0
04005,Epicerie Du Revelly,ChIJwyRTuB5rzBIRhLCRt4V4TKI,"Traiteur, Restaurant Français","1 Place Du Revellin, Annot",0
04005,Le Pied Tanqué,ChIJW_pqdDNzzBIRhy6wlr938Lo,Brasserie,"52 Place Clastre 04170 La Mure Argens, La Mure-Argens",0
04005,Cafe Du Commerce,ChIJC9v7qZRzzBIRyX1nI3WEMfM,"Brasserie, Bar, Café","04170 Saint-André-Les-Alpes, Saint-André-les-Alpes",0
04005,La Table De Marie,ChIJFRqROpNzzBIRJn5Xo-rVKIg,"Restaurant, Restaurant Français, Restaurant Italien, Restaurant De Pizzas","Pl. Charles Bron, Saint-André-les-Alpes",0
04005,Sushi Master Digne - Saveurs Japonaises Et Vietnamiennes,ChIJVQarNwCFyxIRJSXYygRQdfE,Restaurant Asiatique,"74 Bd Gassendi, Digne-les-Bains",2
04005,La Rose De Jade,ChIJNxCfybSayxIRF4MNr5ZaUBU,Restaurant Vietnamien,"28 Bis Pl. Général De Gaulle, Digne-les-Bains",2
04005,Le P'tit Thaï Digne Les Bains,ChIJHxnP0IGbyxIRoi9MtdQrKLE,Restaurant Thaïlandais,"3 Rue Du Jeu De Paume, Digne-les-Bains",2
04005,Sushi House,ChIJCfeZlSyFyxIRw7yT83ZsqwM,Restaurant Japonais,"20 Pl. Général De Gaulle, Digne-les-Bains",2
04005,Restaurant Taj,ChIJv2DwmLOayxIRZN5cb5PRBMw,Restaurant Indien,"6 Rue Pied De Ville, Digne-les-Bains",2
04006,Star Kebab,ChIJ6fTLhLOayxIRlovNf95QRMk,"Kebab, Restaurant De Restauration Rapide","6 Rue De L'hubac, Digne-les-Bains",1
04006,Royal Kebab&Tacos,ChIJzSAkLxGbyxIRQW1Kuu93p3o,Kebab,"77 Av. De Verdun, Digne-les-Bains",1
04006,Les Gentianes,ChIJoaIUSqmJzBIRlZrAqwlp8Wk,"Restaurant Français, Bar, Hôtel, Restaurant","Gr Grand Rue, Allos",0
04006,Chez Franz,ChIJ_6vG8FOIzBIRHHADT8i-jQo,"Restaurant, Restaurant Français, Hôtel","Le Seignus Bas, Allos",0
04006,L'edelweiss,ChIJjUGRKKmJzBIRNVF-iZAZyfo,"Crêperie, Bar, Restaurant Français","Gr Grand Rue, Allos",0
04006,L'autapie,ChIJOxkaEFKIzBIRrFeyb-lvTDg,"Restaurant, Bar, Restaurant Français","Le Seignus Haut, Allos",0
04006,Hôtel Du Hameau,ChIJyaQm2ACGzBIRIhxHy_-EGnI,"Hôtel, Restaurant Français, Agence De Voyages","Le Clouvet, Allos",0
