respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
Alençon,L'oriental,ChIJ6dBFfH0L4kcRw8C9kfq_HHk,Restaurant Marocain,"7 Rue Des Filles Notre Dame, Alençon",1
Alençon,Restaurant Rapide Classico 🇹🇷 🇫🇷,ChIJozpeHWAM4kcRPduHqkqkpSA,"Restaurant De Restauration Rapide, Restaurant De Kebab Doner","4 Rue De Vicques, Alençon",1
Alençon,Royal Kebab,ChIJhT8-TwAN4kcRAywdixftCAQ,Restaurant,"66 Grande Rue, Alençon",1
Alençon,Anatolia Kebab,ChIJR51tDbwN4kcRGpCx-yS04eY,Kebab,"105 Av. Rhin Et Danube, Alençon",1
Alençon,Le Speedway,ChIJ_yy01aMM4kcR1vDXlbSP1VE,"Restaurant, Restaurant De Restauration Rapide, Restaurant De Hamburgers, Kebab, Restaurant De Pizzas, Sandwicherie, Restaurant De Tacos","137 Av. Du Général Leclerc, Alençon",1
Alençon,Haut Ministère,ChIJXbosY4QM4kcRCOmzr-TScro,"Restaurant, Restaurant Français, Restaurant Italien, Restaurant De Pizzas","10 Rue Saint-Blaise, Alençon",0
Alençon,Brasserie La Magdeleine,ChIJ7-Y9Z4MM4kcR9K82M4wbB4Y,"Restaurant, Bar, Brasserie","9 Pl. De La Magdeleine, Alençon",0
Alençon,Bistrot De La Halle,ChIJN8nrk4IM4kcRUSD9Yqu7i6w,"Bistro, Bar, Café, Brasserie","80 Pl. De La Halle Au Blé, Alençon",0
Alençon,Restaurant La Boucherie,ChIJxWGud3oL4kcRldorKOVqH7A,"Restaurant Chophouse, Restaurant Barbecue, Brasserie, Boucherie, Restaurant Familial, Restaurant Français, Restaurant De Steakhouse Français, Salon, Restaurant De Plats De Viande","Rue De Bretagne, Alençon",0
Alençon,Le Hussard,ChIJx_pK_oUM4kcRZRYyAhW81pE,"Restaurant, Restaurant Français, Hôtel","22 Pl. Du Général Charles De Gaulle, Alençon",0
Alençon,Raj Mahal,ChIJhSb76DMN4kcRcGl_dYnFHiw,Restaurant Indien,"125 Bd De La République, Alençon",NA
Alençon,Sakuraa Sushi&Thaï,ChIJB9iMyrAN4kcRVqL9CxgI74s,Restaurant Japonais,"17 Grande Rue, Alençon",NA
Alençon,Indochine,ChIJxyjVRYMM4kcRcPGX5bsY3mw,Restaurant Vietnamien,"4 Rue De La Poterne, Alençon",NA
Alençon,Bambou Thaï Et Sushi,ChIJMxBYjroN4kcRy9YIMPdjFj0,"Restaurant Thaïlandais, Restaurant De Sushis","155 Grande Rue, Alençon",NA
Alençon,Mimi Sushi,ChIJe5Y0QBAN4kcRgGWic8jYsf4,"Restaurant Japonais, Supermarché Chinois","64 R. Maréchal De Lattre De Tassigny, Alençon",NA
Almenêches,Le Twins,ChIJK3OpRmkACkgRhMUXsH9f454,"Kebab, Restaurant De Restauration Rapide","13 Rue Ferdinand Buisson, Argentan",1
Almenêches,Kebab Saint Germain,ChIJG9iAnGkACkgREOzutTAFFmg,"Kebab, Restaurant De Restauration Rapide, Restaurant De Pizzas","27 Rue Saint-Germain, Argentan",1
Almenêches,Akdeniz Kebab,ChIJCaCE7Swb4kcRILTvDpVc74E,"Kebab, Restaurant De Restauration Rapide, Restaurant Gastronomique, Restaurant Italien, Restaurant À Emporter, Restaurant De Pizzas","8 Rue Billy, Sées",1
Almenêches,Chez Kazim,ChIJiZYOwrb5CUgR90fd71QOfyw,Kebab,"3 Rue Des Trois Frères Terrier, Écouché-les-Vallées",1
Almenêches,Le Paparazzi,ChIJa9e9Zn704UcRs_uFWQg0u-4,"Kebab, Restaurant De Kebab Doner","25 Grande Rue, Gacé",1
Almenêches,Le Bistrot De Fernand,ChIJgR37xLID4kcRI6k-EzsXcx0,"Restaurant, Restaurant Français","10 Pl. Maréchal Leclerc, Almenêches",0
