respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
Abancourt,Ô Delice 59,ChIJrZhKuby7wkcRq9bgmT8FvXU,"Restaurant, Pâtisserie, Restaurant Halal, Glacier, Restaurant Italien, Kebab, Sandwicherie, Restaurant Turc, Restaurant Végétarien","1 Av. De Valenciennes 1, Cambrai",1
Abancourt,L'étoile De Marrakech,ChIJGzd44Wm7wkcRQ_oAWD6MjQ4,Restaurant Marocain,"29 Rue Cantimpré, Cambrai",1
Abancourt,Galatasaray,ChIJL4eLih-7wkcRlGbc3ul9q4c,Kebab,"8 Rue Des Clefs, Cambrai",1
Abancourt,Le Petit Riad,ChIJtQMM4n67wkcRYf0w1gKFKIU,"Restaurant, Bar, Restaurant Méditerranéen, Restaurant Marocain","8 Rue Des Cordiers, Cambrai",1
Abancourt,L’oasis,ChIJU0N4kNm7wkcRcCnY1apJlL8,"Restaurant, Restaurant Halal, Restaurant De Hamburgers, Restaurant Italien, Restaurant De Pizzas","5 Rue Tavelle, Cambrai",1
Abancourt,La Frite Fechinoise,ChIJQwPoOqq5wkcR8Q6AOZ38Tng,Restaurant Brunch,"2 Rue Alfred Merliot, Féchain",0
Abancourt,Brasserie Duchaux Et Dézandré,ChIJ8zcrClq5wkcRVr56NkHIEbQ,Brasserie,"1 Rue Pasteur, Aubigny-au-Bac",0
Abancourt,L'escale,ChIJw6vnb---wkcRin5sS17N8Gw,"Brasserie, Brasserie","1 Rue De Wavrechain Sous Faulx, Paillencourt",0
Abancourt,L'annexe,ChIJJagADSy4wkcRCq96EBVhUGw,"Brasserie, Bar, Restaurant Français","7 Rte Nationale, Aubigny-au-Bac",0
Abancourt,Crochez Maryline Nee Caux,ChIJc9Jh5i2_wkcR75IIgc_dPa4,Brasserie,"16 Le Fort, Wasnes-au-Bac",0
Abancourt,Minasushi,ChIJYzMPL9a7wkcRNYuI1Qed5X0,Restaurant Japonais,"France, Cambrai",NA
Abancourt,Le Palais Impérial,ChIJD-ffYHm7wkcRV_PMRsnbIoM,"Restaurant Asiatique, Restaurant Chinois, Restaurant Thaïlandais","23 Mail Saint-Martin, Cambrai",NA
Abancourt,Kyoto,ChIJS6jlE367wkcRJ44NRyJuiXY,"Restaurant Japonais, Bar, Restaurant De Sushis","36 Rue Du Général De Gaulle, Cambrai",NA
Abancourt,Zhong Hua,ChIJn1Ki5nu7wkcRzbRJqKJBcmI,Plats Chinois À Emporter,"10 Rue Du 11 Novembre, Cambrai",NA
Abancourt,Osaki,ChIJcTQo9Hu7wkcRWM2wSzJ1RCs,"Restaurant Japonais, Restaurant De Fondue Chinoise, Restaurant De Ramen, Restaurant De Sushis","13 Rue Des Liniers, Cambrai",NA
Abscon,Food House,ChIJCerP2ZTBwkcRVtX2_jG7flU,"Restaurant De Pizzas, Restaurant De Tacos","18 Pl. Du Général De Gaulle, Abscon",1
Abscon,Le Palais D'istanbul,ChIJI6KeJKPqwkcReregqRJ5QFc,"Restaurant Turc, Restaurant De Restauration Rapide, Kebab, Restaurant De Livraison","15 Pl. Léon Gambetta, Escaudain",1
Abscon,Antalya Restaurant,ChIJpaN_iTvBwkcRiKqCDU-SoFY,"Restaurant Turc, Restaurant De Restauration Rapide, Kebab","29 Rue Suzanne Lanoy, Somain",1
Abscon,Pera Istanbul,ChIJM2Ai2z7BwkcRlcSoRAurupY,"Restaurant, Kebab, Restaurant Turc","5 Bis Rue Pasteur, Somain",1
Abscon,Istanbul Capitol,ChIJPy13pzHHwkcRDsGecmYF2AE,Restaurant Turc,"2 Rue Patoux, Aniche",1
Abscon,J.m.g,ChIJi_Kjde7BwkcRKNz3MBBtNww,"Restaurant, Restaurant De Restauration Rapide, Restaurant Gastronomique, Restaurant D'aliments Sains, Restaurant Du Déjeuner, Restaurant Traditionnel","18t Pl. Du Général De Gaulle, Abscon",0
Abscon,Diner's Frites,ChIJx8BNy_nBwkcRDFXGVW2s3PY,Restaurant Américain,"1 Rte De Douai, Somain",0
Abscon,Buffalo Grill Somain,ChIJYen1WRrBwkcRPW1-Ygefmc8,"Restaurant, Restaurant Américain, Bar Et Grill, Restaurant Barbecue, Restaurant Familial, Restaurant De Hamburgers, Restaurant À Emporter, Steak House","Bd Louise Michel, Somain",0
Abscon,Burger King,ChIJFdCE7CLBwkcRofkerpYAVC8,"Restaurant De Restauration Rapide, Restaurant Américain, Bar Et Grill, Restaurant Familial, Restaurant De Hamburgers, Restaurant À Emporter","181 Bd Louise Michel, Somain",0
