respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
Aire-sur-l'Adour,Aux Delices,ChIJCZyvjokMVg0RhplEPJW_6_Q,Kebab,"13 Rue Henri Labeyrie, Aire-sur-l'Adour",1
Aire-sur-l'Adour,"Le Royal Kebab,Burger,Tacos…",ChIJf6kciYQNVg0Rc0tFW5ikruI,Restaurant De Restauration Rapide,"21 Pl. Du Commerce, Aire-sur-l'Adour",1
Aire-sur-l'Adour,Kebab Land's,ChIJ784i52t1Vg0REigdAgL5Vow,Restaurant De Restauration Rapide,"98 Allée Des Grives, Bordères-et-Lamensans",1
Aire-sur-l'Adour,Bacha Kebab,ChIJDZImeS0FVg0Rv2SZvTv9AR4,Restaurant De Restauration Rapide,"18 Place De La Volaille, Riscle",1
Aire-sur-l'Adour,Kebab Mdtacos 'Le Medina',ChIJA4sQXxUBVg0RbE7NUjpz4Fc,"Restaurant, Restaurant De Kebab Doner, Restaurant De Restauration Rapide, Restaurant De Hamburgers, Kebab, Restaurant De Tacos","42 Rue Nationale, Nogaro",1
Aire-sur-l'Adour,Hotel Restaurant Les Platanes,ChIJdcJ-Mn0MVg0RD0R1aQN17lw,"Restaurant Français, Hôtel","2 Pl. De La Liberté, Aire-sur-l'Adour",0
Aire-sur-l'Adour,Au Comptoir De L'adour,ChIJAWj1JYgMVg0RjuoxOoaG3EE,"Brasserie, Bar, Restaurant Français","3 Pl. Goury, Aire-sur-l'Adour",0
Aire-sur-l'Adour,Crescendo Restaurant,ChIJcdH7W3wLVg0RrKvbTFwwH1E,"Restaurant, Restaurant Barbecue, Restaurant Familial, Restaurant Français, Restaurant De Hamburgers, Restaurant D'aliments Sains, Restaurant À Emporter, Restaurant De Pizzas","1670 Chem. De Perrot Centre Commercial E.leclerc, Aire-sur-l'Adour",0
Aire-sur-l'Adour,Sandwicherie De L’adour,ChIJfxLQMAANVg0RjOI7lZwTpsk,Restaurant Américain,"Rue Des Arènes, Aire-sur-l'Adour",0
Aire-sur-l'Adour,Mcdonald's,ChIJG_JJSiQLVg0RWYF2a5Hp_l0,"Restaurant De Restauration Rapide, Restaurant Américain, Restaurant De Hamburgers, Restaurant De Pizzas, Restaurant, Sandwicherie","101 Bis, Route De Bordeaux Sortie 6 Sur Autoroute, Aire-sur-l'Adour",0
Aire-sur-l'Adour,Chez Jean-Noël,ChIJdeZqGVUNVg0RkXPi7nj6UIc,Restaurant Vietnamien,"11 Rue Henri Labeyrie, Aire-sur-l'Adour",NA
Aire-sur-l'Adour,Restaurant Asia,ChIJcRJOHYAMVg0REm-VDlUnmQE,"Restaurant Vietnamien, Bar, Restaurant Chinois","53 Av. De Bordeaux, Aire-sur-l'Adour",NA
Aire-sur-l'Adour,Thaï Landes,ChIJFziI7_dxVg0Rfj2U6mKycnE,Restaurant Asiatique,"58 Pl. De L Hôtel De Ville, Geaune",NA
Aire-sur-l'Adour,Ô Délices De Kim,ChIJjaIUjOQBVg0R1AcQMg-ifWQ,Restaurant Asiatique,"42 Rue Nationale, Nogaro",NA
Aire-sur-l'Adour,Yim Siam Saveurs D'asie - Food Truck Cuisine Thai Mont De Marsan,ChIJhxYMqPXWVQ0RepFQwK60xE4,"Restaurant À Emporter, Restaurant Asiatique, Restaurant Thaïlandais","13 All. Des Prés Du Marquis, Benquet",NA
Amou,Pizzeria De Caupenne,ChIJoWfkU86EVg0RjzCXWcHgVxw,"Pizza À Emporter, Bar, Restaurant De Pizzas, Restaurant De Tacos","13 D158, Caupenne",1
Amou,Burger's & Soul Food,ChIJqxpF9dGTVg0RE1UAHiSU-yQ,"Restaurant De Hamburgers, Restaurant De Restauration Rapide, Kebab, Pizza À Emporter","19 Av. Georges Moutet, Orthez",1
Amou,Milana'pizza Orthez,ChIJSb_BqGWTVg0R5_qonF4j-YI,"Restaurant De Restauration Rapide, Restaurant De Hamburgers, Kebab, Restaurant De Livraison, Livraison De Pizzas, Restaurant De Pizzas, Pizza À Emporter, Magasin De Salades, Restaurant De Tacos","10 Rue Aristide Briand, Orthez",1
Amou,Aux Portes De Meknes,ChIJITjC5siSVg0ReA9GppXKO2s,"Kebab, Restaurant De Restauration Rapide","3 Rue Du Général Ducournau, Orthez",1
Amou,Dz Kebab,ChIJt5V8praSVg0Rf03dk24CtOA,Restaurant,"7 Rue Saint-Gilles, Orthez",1
Amou,Restaurant Chez Darracq,ChIJe55nECyOVg0RfO_IPygY9A4,"Restaurant, Restaurant Français, Hôtel","Place De La Poste, Amou",0
Amou,La Dame Des Luys,ChIJKxXtu1-PVg0RawpTwk263_Q,Restaurant Français,"388 Rue Du Musée, Brassempouy",0
Amou,Restaurant La Forgerie,ChIJb_rLenqQVg0RWPAjt74vwvs,"Restaurant Français, Bar","80 Rte Du Bourg, Bastennes",0
Amou,La Parenthèse - Bar/Restaurant/Pizzeria,ChIJbU4YGPaLVg0Rdu6iGs1IKo4,"Restaurant, Restaurant Français, Pizza À Emporter","Av. De Chalosse, Sault-de-Navailles",0
