respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
Aigues-Juntes,Bento Shop & Go,ChIJIzGnBxcbrxIRFLBS3e5n3LI,"Restaurant Japonais, Restaurant Halal, Restaurant À Emporter","10 Av. De Rieux, Varilhes",1
Aigues-Juntes,Hananedélices Kebab Tacos Burger Salade 09 Foix,ChIJGxJl5mkRrxIRQUeXlA-CxSI,"Restaurant, Restaurant De Hamburgers, Kebab, Restaurant De Tacos","Rue Jean Moulin, Foix",1
Aigues-Juntes,La Pause Gourmande,ChIJv3XZMDYdrxIRkUEpcirv2J4,"Boulangerie, Pâtisserie, Restaurant Halal, Restaurant D'aliments Sains, Pâtisserie, Magasin De Salades, Sandwicherie, Restaurant Végétarien","2 Rue Maréchal Clauzel, Pamiers",1
Aigues-Juntes,Antalya Cafe Restaurant,ChIJ7WeBSmocrxIRfjg4wKy19Hw,"Restaurant, Restaurant De Restauration Rapide, Kebab, Restaurant Turc","15 Bis Rte De Foix, Pamiers",1
Aigues-Juntes,Food Factory Pamiers,ChIJvcMb6TgdrxIRseJSCnCp544,"Restaurant De Restauration Rapide, Restaurant Halal, Kebab, Restaurant De Tacos","15 Rue Charles De Gaulle, Pamiers",1
Aigues-Juntes,L'estanquet De Pailhès,ChIJHYiZWbMmrxIRf3X0d0nS5Qk,"Restaurant, Restaurant Français","Pailhès, Pailhès",0
Aigues-Juntes,Brasserie Le Cent Dix Sept,ChIJydNHsbQkrxIRWCFjWbzCARw,Brasserie,"506 Chem. Du Moulin, La Bastide-de-Sérou",0
Aigues-Juntes,Le Fairway,ChIJFRhPtbQkrxIRu4foehm3b9o,Restaurant Français,"Pl. Vilote, La Bastide-de-Sérou",0
Aigues-Juntes,Marie Cuba Café,ChIJr5dc8AEnrxIRkEXY2xu9XII,"Restaurant, Restaurant Français","Pl. De L'église, Artigat",0
Aigues-Juntes,Enso De Marichott,ChIJd9IITlElrxIRWelNm42pS50,"Restaurant, Restaurant Français","09240 De, Durban-sur-Arize",0
Aigues-Juntes,Sushi'z,ChIJV95Jt_YarxIRYL1SRCgYFLw,"Sushis À Emporter, Restaurant De Restauration Rapide","5 Grand Place, Dalou",NA
Aigues-Juntes,Nem Chez Moi,ChIJk1fqHDEcrxIRgodjnGGuFN0,"Restaurant Asiatique, Restaurant Chinois","41 Rue Gabriel Péri, Pamiers",NA
Aigues-Juntes,Le Siam,ChIJsbas_ycRrxIRDjsINAsHLzY,"Restaurant Asiatique, Restaurant Chinois, Restaurant Thaïlandais","34 Cr Irénée Cros, Foix",NA
Aigues-Juntes,Restaurant Nouilles 09 ( Nouilles Faite À La Main )手工面条,ChIJGTNWI_0drxIRgxdvaSuABCg,"Restaurant Mandarin, Restaurant De Ramen","38 Rte De Mirepoix, Pamiers",NA
Aigues-Juntes,Le Bonheur,ChIJo1nBsDMcrxIRNlLcVoV2kpw,Restaurant Chinois,"13 Av. De Toulouse, Pamiers",NA
Aigues-Vives,Rach'kebab,ChIJRZqrWTinrxIR4pMAM9AZcpk,"Kebab, Restaurant De Restauration Rapide","19-25 Av. Alsace Lorraine, Lavelanet",1
Aigues-Vives,L'entrepotes,ChIJP53PCbqnrxIR2RoaktdVoK0,"Boucherie Charcuterie, Restaurant Halal","97 Rue Jean Jaurès, Lavelanet",1
Aigues-Vives,Bento Shop & Go,ChIJIzGnBxcbrxIRFLBS3e5n3LI,"Restaurant Japonais, Restaurant Halal, Restaurant À Emporter","10 Av. De Rieux, Varilhes",1
Aigues-Vives,Hananedélices Kebab Tacos Burger Salade 09 Foix,ChIJGxJl5mkRrxIRQUeXlA-CxSI,"Restaurant, Restaurant De Hamburgers, Kebab, Restaurant De Tacos","Rue Jean Moulin, Foix",1
Aigues-Vives,Pizzeria Kebab De Foix 09 Al-Andalus,ChIJx8KCNzwRrxIR7l37BQ6HIy0,"Restaurant De Pizzas, Restaurant De Restauration Rapide, Kebab","Allez Dr Paul Voivenel, Foix",1
Aigues-Vives,Le Kartare - Restaurant De Groupe - Traiteur - Location De Salle - Sur Réservation,ChIJAwLGQp2orxIR_stObHooEC4,"Restaurant Français, Traiteur, Lieu De L'événement","La Plano, Aigues-Vives",0
Aigues-Vives,Le Rendez-Vous,ChIJIX19jeGlrxIRyiGOGo6GUDU,"Restaurant, Bar, Bistro","49 Cr Saint-Jacques, Léran",0
Aigues-Vives,La Cabanette,ChIJhRflt1SmrxIRY5uN1A441GM,"Restaurant, Restaurant Français","12 Pl. De La Cabanette, Laroque-d'Olmes",0
Aigues-Vives,Castel D'olmes,ChIJmV05MzynrxIRBCVy-vf9kQc,"Restaurant Français, Hôtel","76 Av. Du 11 Novembre 1918, Laroque-d'Olmes",0
Aigues-Vives,La Maison,ChIJudnZNASnrxIRJnDwj29N_Nw,"Restaurant Français, Restaurant Familial","4 Av. Du 8 Mai 1945, La Bastide-sur-l'Hers",0
Aigues-Vives,Les 3 Bonheurs,ChIJ-9vwnkmnrxIROR5GaJHEEhM,"Restaurant Asiatique, Restaurant, Restaurant Thaïlandais","20 Pl. Albert Gabarrou, Lavelanet",NA
Aigues-Vives,Chez Pap's,ChIJ62kd0NOrrxIRDRH1frU3ZRw,"Restaurant, Restaurant Indien","22 Rue Prte D Amont, Mirepoix",NA
Aigues-Vives,L'impérial,ChIJ3dXUzNOrrxIRpeNcNtNZAII,"Restaurant, Restaurant Chinois","9 Cr Colonel Petitpied, Mirepoix",NA
Aigues-Vives,Sushi'z,ChIJV95Jt_YarxIRYL1SRCgYFLw,"Sushis À Emporter, Restaurant De Restauration Rapide","5 Grand Place, Dalou",NA
Aigues-Vives,Asian Corner,ChIJcZS2F1kRrxIRbDLwRgYc564,Sushis À Emporter,"Le Terrefort, Foix",NA
L'Aiguillon,Rach'kebab,ChIJRZqrWTinrxIR4pMAM9AZcpk,"Kebab, Restaurant De Restauration Rapide","19-25 Av. Alsace Lorraine, Lavelanet",1
L'Aiguillon,L'entrepotes,ChIJP53PCbqnrxIR2RoaktdVoK0,"Boucherie Charcuterie, Restaurant Halal","97 Rue Jean Jaurès, Lavelanet",1
L'Aiguillon,Pizzeria Kebab De Foix 09 Al-Andalus,ChIJx8KCNzwRrxIR7l37BQ6HIy0,"Restaurant De Pizzas, Restaurant De Restauration Rapide, Kebab","Allez Dr Paul Voivenel, Foix",1
L'Aiguillon,Le Shams,ChIJAZRs0zoRrxIRcRbyFbUPHyU,"Restaurant De Pizzas, Restaurant Égyptien, Restaurant Français, Restaurant","4 Av. Du Général De Gaulle, Foix",1
L'Aiguillon,Hananedélices Kebab Tacos Burger Salade 09 Foix,ChIJGxJl5mkRrxIRQUeXlA-CxSI,"Restaurant, Restaurant De Hamburgers, Kebab, Restaurant De Tacos","Rue Jean Moulin, Foix",1
L'Aiguillon,Pré Du Bonheur,ChIJOYrvoNSjrxIRQp1z4t4mh8E,"Restaurant, Restaurant Français","Route De Bélesta, Fougax-et-Barrineuf",0
L'Aiguillon,Restaurant Katucha,ChIJpV28snenrxIRUvYS1CPOtK4,"Restaurant, Restaurant Français, Restaurant À Emporter, Restaurant Russe, Bar À Tapas","8 Av. Du Dr Bernadac, Lavelanet",0
L'Aiguillon,Le Théâtre,ChIJDZPIbkmnrxIR7oP3w-62Uc8,"Brasserie, Restaurant Français","3 Rue Jean Jaurès, Lavelanet",0
L'Aiguillon,La Maison,ChIJudnZNASnrxIRJnDwj29N_Nw,"Restaurant Français, Restaurant Familial","4 Av. Du 8 Mai 1945, La Bastide-sur-l'Hers",0
