respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
Abancourt,Starfoods Kebab 60,ChIJ9Qxr5BA_50cRw_uFTQTNUpk,"Restaurant Turc, Restaurant De Restauration Rapide, Kebab","12 Rue Léon Lemetayer, Formerie",1
Abancourt,Restaurant Aumale,ChIJVYvkXC1C50cR_XHX5GoHazc,"Restaurant Turc, Restaurant De Restauration Rapide, Restaurant Italien, Restaurant De Pizzas","22 Rue Du Long Pont, Aumale",1
Abancourt,Le 254,ChIJwQD9hQJD50cRqLyveySryew,"Restaurant De Restauration Rapide, Restaurant De Hamburgers, Kebab, Restaurant De Pizzas, Restaurant De Tacos","11 Rue Du Bailliage, Aumale",1
Abancourt,Toastyfood,ChIJQYxGtes550cRHfp0Jgx0o2E,"Kebab, Restaurant","10 Pl. De La Mairie, Gaillefontaine",1
Abancourt,Resto Doner Burger,ChIJ1yZwp9oS50cRQXLxLJxHRKs,"Restaurant De Restauration Rapide, Restaurant Américain, Salle Des Enfants, Restaurant De Hamburgers, Kebab, Restaurant","27 Pl. Barbier, Grandvilliers",1
Abancourt,L'atelier,ChIJH7L7MkgV50cR-c6fd4LEr9Y,"Restaurant, Restaurant Français","2 Rue Du Stade, Moliens",0
Abancourt,La Table De Laurent,ChIJ2Sk0xA8_50cRusKv2fzmsEY,"Restaurant Français, Restaurant","21 Rue De La Paix, Formerie",0
Abancourt,Hôtel Saint Pierre,ChIJx0K_FhA_50cR4gGSm2fAh10,"Restaurant, Bar, Restaurant Français, Hôtel","1 Rue De La Paix, Formerie",0
Abancourt,Brasserie De L'hotel De Ville,ChIJjQx92hA_50cRHRiRJsmfftw,"Restaurant, Restaurant Barbecue, Magasin De Bière, Bar À Cocktails, Restaurant Français, Restaurant De Pizzas, Steak House, Restaurant Végétarien, Bar À Vin","8 Rue Georges Clemenceau, Formerie",0
Abancourt,Le Valentin,ChIJn0Yg039B50cRVgO6LrvLFng,"Restaurant, Restaurant Français","1bis Chem. De L'étang, Quincampoix-Fleuzy",0
