respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
Agen,Butcher & Wok,ChIJfX6CZjCzqxIRW9M-z6lEovo,Restaurant Halal,"35 Bd Edouard Lacour, Agen",1
Agen,L'assiette Du Liban,ChIJHRvDvECzqxIR7H4N4FM38n4,Restaurant Libanais,"35 Av. Du Général De Gaulle, Agen",1
Agen,Royal Naan,ChIJsXbHUg2zqxIRJC1y1jNqlic,"Restaurant, Restaurant De Cheesesteak, Restaurant De Restauration Rapide, Restaurant Halal, Restaurant Indien Musulman, Kebab","24 Bd Sylvain Dumon, Agen",1
Agen,O'cheese Naan,ChIJr5YRBCCzqxIRkKYWDxc21rI,Restaurant Halal,"34 Bd Sylvain Dumon, Agen",1
Agen,Pitaya Thaï Street Food,ChIJQRSzFSGzqxIRtGMRM1U5QTE,"Restaurant De Restauration Rapide, Restaurant Asiatique, Restaurant Halal, Restaurant Panasiatique, Restaurant, Restaurant D'asie Du Sud-Est, Restaurant Thaïlandais, Restaurant De Wok","3 Rue Des Cornières, Agen",1
Agen,Restaurant La Terrasse,ChIJ__8bej2zqxIRWIfEpCQb6BI,"Restaurant Français, Café, Restaurant De Pizzas, Restaurant, Bar À Tapas","104 Bd De La Liberté, Agen",0
Agen,L'imprévu,ChIJUYweMB-zqxIRV9D0Aaer4ac,Restaurant Français,"7 Rue Camille Desmoulins, Agen",0
Agen,Le Bistronome,ChIJW7pJXS-zqxIR2JkILRjC-0s,"Restaurant, Restaurant Français","57 Rue Psty Du Gravier, Agen",0
Agen,Restaurant L'aubade,ChIJ2TgkUzWqqxIR6KoFePEUPpc,"Restaurant, Restaurant Français","3 Rue Des Droits De L'homme, Agen",0
Agen,Le Margoton,ChIJQWa2JCSzqxIRLz1xNUi9WTs,Restaurant Français,"52 Rue Richard Cœur De Lion, Agen",0
Agen,Taj Mahal,ChIJn7VufACzqxIRLBPu0t_F7FE,Restaurant Indien,"37 Rue Voltaire, Agen",NA
Agen,Le Dynastie,ChIJ2RsmmTizqxIRiO9WhyubESU,"Restaurant Chinois, Restaurant Asiatique, Restaurant Thaïlandais","1350 Av. Du Midi, Agen",NA
Agen,Téo Japon | Restaurant Japonais À Agen,ChIJ1ZxFFyWzqxIR6F4aoJlI5Mk,Restaurant Japonais,"3 Rue Palissy, Agen",NA
Agen,Le Vietnam,ChIJdVwx1yGzqxIRwlv_tH5wlxI,Restaurant Vietnamien,"43 Rue Des Ambans, Agen",NA
Agen,Ichiban Restaurant Japonais,ChIJOajpoEOzqxIRpEjhtd-YjXs,Restaurant Japonais,"11 Av. Du Général De Gaulle, Agen",NA
Agmé,Kebab Arwa Food 47,ChIJLZISZLVfqhIRxMmnSV_qslk,Restaurant Halal,"20 Rue Gambetta, Tonneins",1
Agmé,Owais Kebab,ChIJXdj6AvBfqhIRfEHX_7TA9cw,"Kebab, Restaurant De Restauration Rapide","4 Rue Des Écuries Royales, Tonneins",1
Agmé,Baratie,ChIJBxgsDohfqhIRwNL7t_jA4oA,"Kebab, Restaurant Halal, Restaurant","6 Rue Des Écuries Royales, Tonneins",1
Agmé,Royal Kebab,ChIJ91SspelfqhIR_AqmgZ05Xi4,Restaurant De Restauration Rapide,"4 Rue Des Écuries Royales, Tonneins",1
Agmé,Le Snack Du Centre,ChIJOXEY9pBfqhIRyUfdWxySFxM,"Kebab, Restaurant De Tacos","2 Rue Maréchal Joffre, Tonneins",1
Agmé,Le Vieux Faitout,ChIJmZYLgCDzqhIRCbve1bEpHHg,Restaurant Français,"Lieu-Dit, Puymiclan",0
Agmé,La Canaule Gourmande,ChIJI0VgekmLqhIRktuAaUkdEAs,"Restaurant, Bar, Restaurant Français","1 D641, Gontaud-de-Nogaret",0
Agmé,Restaurant Le Mistral,ChIJyfhdsVftqhIR_Sb0wzRx2b8,"Restaurant Français, Bar, Restaurant","Place De La République, Seyches",0
Agmé,Le Restaurant Du Lac,ChIJUVamcaH7qhIRi--qs-6onKg,"Restaurant, Magasin De Bière, Fromagerie, Restaurant Français, Restaurant Du Déjeuner, Magasin De Pâtes, Restaurant De Fruits De Mer, Bar À Vin","255 Rue Principale, Tombebœuf",0
Agmé,Le Galapagos,ChIJsbAqEcWKqhIRaxErN_IQs14,Restaurant Français,"Za Du, Fauillet",0
Agmé,La Cuisine Thaï De Lek,ChIJ1_jEJ9JfqhIRLMpHXh8M5JQ,"Restaurant Thaïlandais, Restaurant De Wok","4 Bis Bd Charles De Gaulle, Tonneins",NA
Agmé,Le Dragon,ChIJA9vkr_pfqhIRSBbFN73Si6U,"Restaurant, Restaurant Chinois","12 Rue Maréchal Joffre, Tonneins",NA
Agmé,Wasabi Intermarché Saint-Pardoux-Izaac,ChIJW2U6iiLtqhIRkgWmCdfiv7M,Sushis À Emporter,"Au Rébéquet, Saint-Pardoux-Isaac",NA
Agmé,J'adooore Les Sushis,ChIJida8XW2PqhIROAqu6O3XV40,"Restaurant De Sushis, Restaurant Japonais","21 Bd Gambetta, Marmande",NA
Agmé,Go Thaï,ChIJKXQNwBePqhIRNw3FHfgMfGA,Restaurant Thaïlandais,"48 Rue De La République, Marmande",NA
Agnac,Le Kebab,ChIJi5Verz7sqhIRXtqNrZj_Sr0,"Kebab, Restaurant De Restauration Rapide","8 Rue Philippeaux, Miramont-de-Guyenne",1
Agnac,L'antre-Deux,ChIJx9oVfGOZqhIR9sSuLe6jZh8,Kebab,"9 Bis Rue Prte De La Réole, Monségur",1
Agnac,Eltaco,ChIJ___rXW2PqhIR-UljQQjA18g,"Restaurant De Tacos, Restaurant De Restauration Rapide","71 Bd Gambetta, Marmande",1
Agnac,La Rose Des Sables,ChIJ8fABa3KPqhIRiW2XNTiocSg,"Restaurant Marocain, Restaurant","20 Bd Ulysse Casse, Marmande",1
Agnac,Au Comptoir Libanais,ChIJQxGLpqvbqhIRW1ZOghTTZjU,Restaurant Libanais,"103 Av. Paul Doumer, Bergerac",1
Agnac,Café Tortoni,ChIJjbHOE6TpqhIR_fcnyf7OoMM,"Bistro, Bar, Café, Pub","3 Av. De Sainte-Foy, Eymet",0
Agnac,Le Petit Périgord,ChIJKXi9TETpqhIRnLkg999Mico,Restaurant Français,"39 Pl. Gambetta, Eymet",0
Agnac,La Maison D'amour,ChIJe2iJ16PpqhIROB8ph1QjHBI,"Crêperie, Restaurant Français","37 Pl. Gambetta, Eymet",0
Agnac,La Cour D'eymet,ChIJW7ERsKbpqhIRfeWN2Ue-Hy8,Restaurant Français,"32 Bd National, Eymet",0
Agnac,Temye Sarl,ChIJsUi1ZaTpqhIRTpWy-KJkrP8,"Brasserie, Bar, Restaurant Italien, Restaurant De Pizzas","2 Bd National, Eymet",0
Agnac,Restaurant Indien Shalimar Eymet,ChIJhXBIE7jpqhIR5L9fZ9Rh0rQ,"Restaurant Indien, Restaurant Pakistanais, Restaurant Végétarien","19 Rue De L'engin, Eymet",NA
Agnac,Umami,ChIJ4V7T2mXpqhIRfiOMpadfi1E,Restaurant De Fusion Asiatique,"56 Bd National, Eymet",NA
Agnac,Wasabi Intermarché Saint-Pardoux-Izaac,ChIJW2U6iiLtqhIRkgWmCdfiv7M,Sushis À Emporter,"Au Rébéquet, Saint-Pardoux-Isaac",NA
Agnac,Pang's Wok,ChIJc9Fu0ZG_qhIRZ3P64pEvT7Y,Plats Chinois À Emporter,"309 Imp. De La Charpentiere, Loubès-Bernac",NA
Agnac,Planet Grill,ChIJrUvf70vFqhIRVro8ylzt15Y,"Restaurant, Restaurant De Fondue Chinoise, Restaurant Mandarin, Restaurant De Sushis, Restaurant De Wok","Zone Commercial, Bergerac",NA
Aiguillon,Ô Del'ices Aiguillon,ChIJP_PK5UpcqhIRlj1wU5OyKvA,"Kebab, Restaurant De Restauration Rapide","29 Rue Thiers, Aiguillon",1
Aiguillon,Kebab Pizzeria Aiguillon,ChIJsf6KHO1dqhIRi_dyLL_LI3I,Restaurant,"5 Pl. Du 14 Juillet, Aiguillon",1
Aiguillon,Manger Varie,ChIJ2TAWDoZdqhIRuG6mhs5RStA,Kebab,"23 Rue Thiers, Aiguillon",1
Aiguillon,Kebab El Baraka,ChIJLc7tZSpZqhIRcQTb-EKWQ08,"Restaurant Turc, Restaurant De Restauration Rapide","3 Pl. Serres, Clairac",1
Aiguillon,Banos Kebab,ChIJG8GDI-tfqhIRiaZc0W2-xpA,Kebab,"15 Rue Du Bas Montamat, Tonneins",1
Aiguillon,Café Rodro,ChIJwUM5PUtcqhIRM_n-UcWHs_4,"Restaurant, Restaurant Français","11 Pl. Du 14 Juillet, Aiguillon",0
Aiguillon,Brasserie Gilou Et Déde,ChIJsbRe50tcqhIRZjK86j2QQPw,"Restaurant, Brasserie","1 Pl. Du 14 Juillet, Aiguillon",0
Aiguillon,Restaurant Les Ecuries,ChIJo7FbwkpcqhIRjCteQ-ov7dI,Restaurant Français,"Rue Sabatte, Aiguillon",0
Aiguillon,Le 113,ChIJNVxRCn9eqhIR99kzYVDGd8Q,"Restaurant Français, Bar","47190 Nicole, Nicole",0
Aiguillon,L'île Aux Bateaux,ChIJ8R3abVBdqhIRs4CaRYpQFaA,"Restaurant, Restaurant Français","Canal Lateral A La Garonne, Buzet-sur-Baïse",0
Aiguillon,Tata Sushi 47,ChIJBb5UtMFZqhIROCtpUMDmVfU,"Sushis À Emporter, Producteur Alimentaire, Restaurant Japonais, Restaurant De Sushis","Pl. Vicoze, Clairac",NA
Aiguillon,Le Dragon,ChIJA9vkr_pfqhIRSBbFN73Si6U,"Restaurant, Restaurant Chinois","12 Rue Maréchal Joffre, Tonneins",NA
Aiguillon,La Cuisine Thaï De Lek,ChIJ1_jEJ9JfqhIRLMpHXh8M5JQ,"Restaurant Thaïlandais, Restaurant De Wok","4 Bis Bd Charles De Gaulle, Tonneins",NA
Aiguillon,Asia,ChIJd8-yW69BqhIRWSuv8eVh4UU,"Restaurant Vietnamien, Restaurant Asiatique","41 Av. Maréchal Foch, Nérac",NA
Aiguillon,Le Dragon D'or,ChIJCZOi9O17qhIRP4hvjr5d5Fo,"Restaurant Vietnamien, Restaurant Chinois","13 Pl. De L'église, Casteljaloux",NA
Allemans-du-Dropt,Le Kebab,ChIJi5Verz7sqhIRXtqNrZj_Sr0,"Kebab, Restaurant De Restauration Rapide","8 Rue Philippeaux, Miramont-de-Guyenne",1
Allemans-du-Dropt,L'antre-Deux,ChIJx9oVfGOZqhIR9sSuLe6jZh8,Kebab,"9 Bis Rue Prte De La Réole, Monségur",1
Allemans-du-Dropt,La Rose Des Sables,ChIJ8fABa3KPqhIRiW2XNTiocSg,"Restaurant Marocain, Restaurant","20 Bd Ulysse Casse, Marmande",1
Allemans-du-Dropt,Eltaco,ChIJ___rXW2PqhIR-UljQQjA18g,"Restaurant De Tacos, Restaurant De Restauration Rapide","71 Bd Gambetta, Marmande",1
Allemans-du-Dropt,Ifood Marmande,ChIJhR4TGamPqhIRVkVqYA5ZLhc,"Restaurant Thaïlandais, Poké Bar, Magasin De Salades, Restaurant De Sushis, Restaurant De Tacos, Restaurant De Wok","92 Bis Rue Paul Gérard, Marmande",1
Allemans-du-Dropt,Ô Xiii Clochers,ChIJ8e9SbP2UqhIRXxc7VEQu1XA,"Restaurant, Restaurant Français","Place De L'épicerie, Monteton",0
Allemans-du-Dropt,Restaurant St Vincent,ChIJeXe2BgCXqhIR_FVdf8CLXWU,"Restaurant Européen Moderne, Restaurant Français","123 Chemin Du Saint Vincent, Lévignac-de-Guyenne",0
Allemans-du-Dropt,Auberge Des Bastides,ChIJ0Z6wvxTsqhIRVzbqaNS4w0Q,Restaurant Français,"30 Av. De Paris, Saint-Pardoux-Isaac",0
Allemans-du-Dropt,Le Rendez Vous,ChIJUYQluT7sqhIRU5HDwCRUvdk,"Restaurant, Brasserie","35 Rue Philippeaux, Miramont-de-Guyenne",0
Allemans-du-Dropt,Le Bistrot Du Commerce,ChIJLyE_BjzsqhIRhJOmeVKxRxs,"Restaurant, Bistro","22 Pl. De L Hôtel De Ville, Miramont-de-Guyenne",0
Allemans-du-Dropt,Wasabi Intermarché Saint-Pardoux-Izaac,ChIJW2U6iiLtqhIRkgWmCdfiv7M,Sushis À Emporter,"Au Rébéquet, Saint-Pardoux-Isaac",NA
Allemans-du-Dropt,Restaurant Indien Shalimar Eymet,ChIJhXBIE7jpqhIR5L9fZ9Rh0rQ,"Restaurant Indien, Restaurant Pakistanais, Restaurant Végétarien","19 Rue De L'engin, Eymet",NA
Allemans-du-Dropt,Umami,ChIJ4V7T2mXpqhIRfiOMpadfi1E,Restaurant De Fusion Asiatique,"56 Bd National, Eymet",NA
Allemans-du-Dropt,Pang's Wok,ChIJc9Fu0ZG_qhIRZ3P64pEvT7Y,Plats Chinois À Emporter,"309 Imp. De La Charpentiere, Loubès-Bernac",NA
Allemans-du-Dropt,J'adooore Les Sushis,ChIJida8XW2PqhIROAqu6O3XV40,"Restaurant De Sushis, Restaurant Japonais","21 Bd Gambetta, Marmande",NA
Allez-et-Cazeneuve,Kebab Kader,ChIJZZu4EPb_qhIRXsgjrKxSNnE,Kebab,"3 Pl. De Verdun, Sainte-Livrade-sur-Lot",1
Allez-et-Cazeneuve,La Baraka,ChIJJ7lyPsX_qhIRkpTZ-sO-YTE,"Restaurant De Restauration Rapide, Kebab, Restaurant De Tacos","9 Pl. Gaston Carrère, Sainte-Livrade-sur-Lot",1
Allez-et-Cazeneuve,Tacos Korner Villeneuve Sur Lot,ChIJR7kI7qoHqxIRGCves_VCsyo,"Restaurant De Tacos, Restaurant De Restauration Rapide, Restaurant Halal, Restaurant De Hamburgers, Kebab","456 Av. De Bordeaux, Bias",1
Allez-et-Cazeneuve,Urban Tacos Restauration Rapide,ChIJBSEAyGUHqxIRxEcHu7VQ6UU,Restaurant De Tacos,"46 Rue De Pujols, Villeneuve-sur-Lot",1
Allez-et-Cazeneuve,Le Resto D'alep,ChIJM95DYP0HqxIRpkRwbOfxiwg,Restaurant Syrien,"32 Rue De Casseneuil, Villeneuve-sur-Lot",1
Allez-et-Cazeneuve,Le Relais De La Voie Verte,ChIJq2a1R9AAqxIRzaGLgccyH5Q,Restaurant Français,"Ribeyroles, Lédat",0
Allez-et-Cazeneuve,Burger King,ChIJm5rtct0BqxIR4nIqfAg5Hx8,"Restaurant De Restauration Rapide, Restaurant Américain, Bar Et Grill, Restaurant Familial, Restaurant De Hamburgers, Restaurant À Emporter","1545 Av. De Bordeaux, Bias",0
Allez-et-Cazeneuve,Kitchen Accompagnée - Head Private Home Patricia Richer,ChIJDxCzG6__qhIR-XErrDB8wTY,"Traiteur, Cours De Cuisine, Restaurant Français Moderne, Cuisine Commerciale À Usage Partagé","3 Pl. Gaston Carrère, Sainte-Livrade-sur-Lot",0
Allez-et-Cazeneuve,La Bastide D'elora,ChIJMblgKDmrqxIR1vH68ZbxeCQ,"Restaurant, Restaurant Français, Restaurant Italien","Le Bosc, Pujols",0
Allez-et-Cazeneuve,"Salle La Roseraie, Traiteur Fruh",ChIJeePx-kgAqxIRfT1iGwH1La8,"Lieu De L'événement, Restaurant Français","47110 Sainte-Livrade-Sur-Lot, Sainte-Livrade-sur-Lot",0
Allez-et-Cazeneuve,Comptoir 168,ChIJOxNxqKoBqxIRzf8ZZXYqOpI,Plats Chinois À Emporter,"111 Av. De Bordeaux, Bias",NA
Allez-et-Cazeneuve,Saïgon,ChIJa-Jc7ff_qhIR2Xq2RPbYzu8,"Restaurant, Restaurant Asiatique, Épicerie Asiatique","Cafi, Sainte-Livrade-sur-Lot",NA
Allez-et-Cazeneuve,Planet Grill,ChIJM6k0O2YHqxIRgCRMZJlLDoA,"Restaurant, Restaurant Asiatique, Restaurant Mandarin","745 Av. De Bordeaux, Bias",NA
Allez-et-Cazeneuve,Escale D'asie,ChIJdZ4KB28HqxIRC2oBx0hDC7U,Restaurant Vietnamien,"8 Rue Tout Y Croît, Villeneuve-sur-Lot",NA
Allez-et-Cazeneuve,Bombay 47,ChIJubdN2G8HqxIRI2Kp3N5lPC0,"Restaurant Indien Moderne, Restaurant Indien, Restaurant","5 Pl. De La Marine, Villeneuve-sur-Lot",NA
Allons,Nath & Fred,ChIJoXnArmR2VQ0RRESypJuXx50,"Kebab, Restaurant De Restauration Rapide","17 Cr Du Gén De Gaulle, Bazas",1
Allons,Le Mercato,ChIJKztUdlVpqhIRGv07hrKEmxA,Kebab,"6 Rue Gambetta, Lavardac",1
Allons,Ô Del'ices Aiguillon,ChIJP_PK5UpcqhIRlj1wU5OyKvA,"Kebab, Restaurant De Restauration Rapide","29 Rue Thiers, Aiguillon",1
Allons,Manger Varie,ChIJ2TAWDoZdqhIRuG6mhs5RStA,Kebab,"23 Rue Thiers, Aiguillon",1
Allons,Kebab Pizzeria Aiguillon,ChIJsf6KHO1dqhIRi_dyLL_LI3I,Restaurant,"5 Pl. Du 14 Juillet, Aiguillon",1
Allons,Moix Sylvie,ChIJwwd0NFx2qhIR_qPUunGQHc0,"Restaurant, Restaurant Français","43 Av. Adrien Lamothe, Houeillès",0
Allons,Au Bon Coin,ChIJPW_t37aKVQ0Ry0qS7cv9VEw,"Restaurant, Restaurant Français","Rte De Mont De Marsan, Lubbon",0
Allons,Hotel Restaurant Le Relais Des Bruyeres Rene,ChIJ89cIFvL0VQ0Rs6wPbNIWi3w,"Hôtel, Restaurant Français","Quartier Lapeyrade, Losse",0
Allons,La Cote A Losse,ChIJU1-cycSMVQ0RUrmnJdREqR0,"Restaurant, Restaurant Français","6 Route De Lussolle, Losse",0
Allons,The Sabla,ChIJUQbQU52QVQ0RvHHvDrEhaDQ,Restaurant Français,"Le Bourg, Maillas",0
Allons,Le Dragon D'or,ChIJCZOi9O17qhIRP4hvjr5d5Fo,"Restaurant Vietnamien, Restaurant Chinois","13 Pl. De L'église, Casteljaloux",NA
