respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
30001,Chez Dide,ChIJQ0oO_FhLtBIRfy7iadamsFk,"Restaurant, Magasin De Bière, Restaurant Halal, Restaurant Italien, Restaurant De Pizzas, Restaurant Végétarien, Bar À Vin","Aigaliers Route D, Aigaliers",1
30001,Place To Be,ChIJv97ORLK1tRIRJMFWISFRg38,"Restaurant, Magasin De Bière, Restaurant Halal, Restaurant Du Déjeuner, Restaurant Du Moyen-Orient, Bar À Vin","32 Rue Xavier Sigalon, Uzès",1
30001,Les Délices D'orient,ChIJU6oN51-1tRIRcUKv9fPCL8g,"Pâtisserie, Café, Restaurant Indien, Restaurant Marocain","64 Bd Gambetta, Uzès",1
30001,Istanbul Kebab,ChIJZ0z6BI-1tRIRLkxTBa2Dxhk,"Kebab, Restaurant De Restauration Rapide","8 Bd Charles Gide, Uzès",1
30001,Tacos Kebab Le B Six,ChIJV-_ZEmG1tRIRDEJNhXeqXxo,Restaurant De Tacos,"3 Bd Charles Gide, Uzès",1
30001,Le Barbecue Food-Truck/Traiteur,ChIJs1DFjg21tRIR6vJQhXwgKHk,"Traiteur, Restaurant Européen, Restaurant De Steakhouse Français, Marché De Produits Frais, Service De Planification De Réunions, Restaurant Français Moderne, Buffet De Mariage, Service De Mariage","77 A Rue Jean Bernard, Foissac",0
30001,La Rose Des Vents,ChIJ65lkmgdJtBIRX8s8MAsfuHk,"Restaurant, Restaurant Français","20 Les Ateliers De, Baron",0
30001,La Table 2 Julien,ChIJ57qH7L5KtBIRVcq0PSYhKkc,"Restaurant Français, Restaurant Méditerranéen","12 Rte D'uzès, Montaren-et-Saint-Médiers",0
30001,La Bergerie,ChIJGdgUuXU2tBIRyng1Oy6yCls,Restaurant Français,"12 Av. De La Mairie, Garrigues-Sainte-Eulalie",0
30001,Restaurant La Jasse,ChIJAYHjLGk1tBIRwU9g24DoG-I,"Restaurant Français, Bar","Grand'rue F Miterrand, Arpaillargues-et-Aureillac",0
30001,Thaihuong,ChIJvUrs6WC1tRIReP-rEcwBMKE,"Restaurant Asiatique, Restaurant Chinois, Restaurant Thaïlandais, Restaurant Végétarien","8 Rue Xavier Sigalon, Uzès",NA
30001,Asian Sushi Uzès,ChIJ5VjtaeK1tRIRWus2cTEjfBU,"Restaurant Asiatique, Restaurant Régional Japonais, Restaurant De Sushis","7 Rue Saint-Etienne, Uzès",NA
30001,Le Jasmin,ChIJbTI67fu1tRIRgPWKx4U-5g4,Restaurant Chinois,"1 Bd Charles Gide, Uzès",NA
